Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Temp max.moy.(°C),Temp max. moy. Indicateur,Temp min.moy.(°C),Temp min. moy. Indicateur,Temp moy.(°C),Temp moy. Indicateur,Temp max.ext.(°C),Temp max. ext. Indicateur,Temp min.ext.(°C),Temp min. ext. Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol. dernier jour (cm),Neige au sol. dernier jour Indicateur,Dir. raf. max. (10's deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
-71.9,45.4,SHERBROOKE,7028120,1900-01,1900,1,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1900-02,1900,2,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1900-03,1900,3,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1900-04,1900,4,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1900-05,1900,5,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1900-06,1900,6,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1900-07,1900,7,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1900-08,1900,8,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1900-09,1900,9,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1900-10,1900,10,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1900-11,1900,11,6.8,,-2.3,,2.3,,18.9,,-15,,110.2,,54.1,,164.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1900-12,1900,12,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1901-01,1901,1,-3.3,,-18.4,,-10.9,,8.3,,-33.3,,6.6,,76.5,,83.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1901-02,1901,2,-5.8,,-17.3,,-11.6,,3.9,,-26.7,,0,,45.7,,45.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1901-03,1901,3,1.7,,-8.7,,-3.5,,10,,-28.3,,21.1,,78.5,,99.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1901-04,1901,4,12.3,,2.4,,7.4,,23.3,S,-6.7,,63,,6.4,,69.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1901-05,1901,5,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
