"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-71,90","45,40","SHERBROOKE","7028120","1930-01-01","1930","01","01","","5,6","","-16,1","","-5,3","","23,3","","0,0","","0,5","","0,0","","0,5","","","","","","",""
"-71,90","45,40","SHERBROOKE","7028120","1930-01-02","1930","01","02","","6,7","","1,7","","4,2","","13,8","","0,0","","1,5","","0,0","","1,5","","","","","","",""
"-71,90","45,40","SHERBROOKE","7028120","1930-01-03","1930","01","03","","2,2","","0,6","","1,4","","16,6","","0,0","","1,0","","0,8","","1,8","","","","","","",""
"-71,90","45,40","SHERBROOKE","7028120","1930-01-04","1930","01","04","","-9,4","","-17,8","","-13,6","","31,6","","0,0","","0,0","","0,5","","0,5","","","","","","",""
"-71,90","45,40","SHERBROOKE","7028120","1930-01-05","1930","01","05","","-0,6","","-26,1","","-13,4","","31,4","","0,0","","0,0","","0,0","","0,0","","","","","","",""
"-71,90","45,40","SHERBROOKE","7028120","1930-01-06","1930","01","06","","7,8","","-12,8","","-2,5","","20,5","","0,0","","0,0","","0,0","","0,0","","","","","","",""
"-71,90","45,40","SHERBROOKE","7028120","1930-01-07","1930","01","07","","10,6","","5,6","","8,1","","9,9","","0,0","","3,3","","0,0","","3,3","","","","","","",""
"-71,90","45,40","SHERBROOKE","7028120","1930-01-08","1930","01","08","","10,6","","0,6","","5,6","","12,4","","0,0","","8,4","","0,0","","8,4","","","","","","",""
"-71,90","45,40","SHERBROOKE","7028120","1930-01-09","1930","01","09","","-8,9","","-12,2","","-10,6","","28,6","","0,0","","0,5","","9,9","","10,4","","","","","","",""
"-71,90","45,40","SHERBROOKE","7028120","1930-01-10","1930","01","10","","-9,4","","-19,4","","-14,4","","32,4","","0,0","","0,0","","3,8","","3,8","","","","","","",""
