Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
-71.9,45.4,SHERBROOKE,7028120,1970-01-01,1970,1,1,,-12.8,,-21.1,,-17,,35,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-02,1970,1,2,,-11.7,,-17.2,,-14.5,,32.5,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-03,1970,1,3,,-9.4,,-19.4,,-14.4,,32.4,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-04,1970,1,4,,-16.7,,-27.2,,-22,,40,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-05,1970,1,5,,-7.2,,-27.2,,-17.2,,35.2,,0,,0,,4.8,,4.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-06,1970,1,6,,-6.1,,-11.7,,-8.9,,26.9,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-07,1970,1,7,,-12.2,,-22.8,,-17.5,,35.5,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-08,1970,1,8,,-9.4,,-21.1,,-15.3,,33.3,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-09,1970,1,9,,-10.6,,-15.6,,-13.1,,31.1,,0,,0,,1.5,,1.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-10,1970,1,10,,-13.3,,-14.4,,-13.9,,31.9,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-11,1970,1,11,,-12.8,,-16.7,,-14.8,,32.8,,0,,0,,0.5,,0.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-12,1970,1,12,,-12.8,,-25,,-18.9,,36.9,,0,,0,,1.8,,1.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-13,1970,1,13,,-12.2,,-16.1,,-14.2,,32.2,,0,,0,,0.8,,0.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-14,1970,1,14,,-16.1,,-19.4,,-17.8,,35.8,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-15,1970,1,15,,-20,,-23.3,,-21.7,,39.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-16,1970,1,16,,-1.7,,-27.8,,-14.8,,32.8,,0,,0,,1.3,,1.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-17,1970,1,17,,-6.1,,-11.1,,-8.6,,26.6,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-18,1970,1,18,,-13.9,,-16.7,,-15.3,,33.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-19,1970,1,19,,-18.3,,-30,,-24.2,,42.2,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-20,1970,1,20,,-15.6,,-30.6,,-23.1,,41.1,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-21,1970,1,21,,-15,,-25.6,,-20.3,,38.3,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-22,1970,1,22,,-17.8,,-23.9,,-20.9,,38.9,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-23,1970,1,23,,-9.4,,-27.2,,-18.3,,36.3,,0,,0,,2,,2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-24,1970,1,24,,-13.9,,-23.3,,-18.6,,36.6,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-25,1970,1,25,,-6.1,,-20,,-13.1,,31.1,,0,,0,,4.6,,4.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-26,1970,1,26,,-3.9,,-12.8,,-8.4,,26.4,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-27,1970,1,27,,-6.7,,-13.9,,-10.3,,28.3,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1970-01-28,1970,1,28,,4.4,,-14.4,,-5,,23,,0,,0,,7.6,,7.6,,,,,,,
